Country,iTunes,Spotify,Apple Music,YouTube,Shazam,Deezer,Country,iTunes,Spotify,Apple Music,YouTube,Shazam,Deezer
Worldwide,Eminem - Houdini,Sabrina Carpenter - Espresso,Sabrina Carpenter - Espresso,BADVILLAIN - 'BADVILLAIN' MV,FloyyMenor & Cris Mj - Gata Only,Jimin - Like Crazy,United States,Eminem - Houdini,Tommy Richman - MILLION DOLLAR BABY,Kendrick Lamar - Not Like Us,Eminem - Houdini,Tommy Richman - MILLION DOLLAR BABY,Ariana Grande - we can't be friends (wait for your love)
United Kingdom,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),Jimin - Like Crazy,Argentina,"Daft Punk, Pharrell Williams & Nile Rodgers - Get Lucky","Los Ángeles Azules - Perdonarte, ¿Para Qué? (feat. Emilia)","Los Ángeles Azules & Emilia - Perdonarte, ¿Para Qué?",Maluma - HOLA PERDIDA REMIX,Benson Boone - Beautiful Things,Jimin - Like Crazy
Australia,Eminem - Houdini,Tommy Richman - MILLION DOLLAR BABY,Eminem - Houdini,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),V - Love Me Again,Brazil,Racionais MC's - Sou + Você,DJ TOPO - MTG QUEM NÃO QUER SOU EU,Billie Eilish - CHIHIRO,Hoodcelebrityy - She's A Fan,Benson Boone - Beautiful Things,The Box - THE BOX MEDLEY FUNK 2
Canada,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),Jimin - Like Crazy,Colombia,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),Blessd - Mirame (feat. Ovy On The Drums),Feid & ATL Jacob - LUNA,Luis Alfonso - Mi Palabra Contra la de Ellos (En Vivo),Chakal Del Sur - El Amor Y La Felicidad,Jimin - Like Crazy
France,Disturbed - The Sound of Silence (CYRIL Remix),Carbonne - Imagine,GIMS & DYSTINCT - SPIDER,GIMS - SPIDER,FloyyMenor & Cris Mj - Gata Only,Carbonne - Imagine,Germany,Gigi D'Agostino - L'amour toujours (Small Mix),Pashanim - Mittelmeer,Eminem - Houdini,Eminem - Houdini,FloyyMenor & Cris Mj - Gata Only,V - FRI(END)S
India,"Danny, Avvy Sra & Sagar - Ve Haaniyaan","Ram Sampath - Sajni (From ""Laapataa Ladies"") (feat. Arijit Singh & Prashant Pandey)","Arijit Singh, Ram Sampath & Prashant Pandey - Sajni","Arijit Singh - Tainu Khabar Nahi (From ""Munjya"")","Jyoti Nooran, Jaani & Bunny - Paon Ki Jutti","",Indonesia,ECLIPSE - Sudden Shower,Henry Moodie - drunk text,Adrian Khalif & Juicy Luicy - Sialan,Kep1er - Shooting Star MV,Bilal Indrajaya - Niscaya,Jimin - Like Crazy
Italy,Tananai & Annalisa - STORIE BREVI,Tony Effe - SESSO E SAMBA (feat. Gaia),Tony Effe & GAIA - SESSO E SAMBA,Geolier - L'ULTIMA POESIA,Coma_Cose - MALAVITA,Jimin - Like Crazy,Japan,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),Mrs. GREEN APPLE - ライラック,Mrs. GREEN APPLE - ライラック,Creepy Nuts - Bling-Bang-Bang-Born,Number_i - Bon,Jimin - Like Crazy
Mexico,RM - Groin,Luis R Conriquez - Si No Quieres No (feat. Neton Vega),Óscar Maydon & Junior H - Volver Al Futuro,Natanael Cano - Madonna,FloyyMenor & Cris Mj - Gata Only,Jimin - Like Crazy,Netherlands,Mart Hoogkamer - Doe Mij 'N Rondje,Roxy Dekker - Sugardaddy,Eminem - Houdini,Eminem - Houdini,FloyyMenor & Cris Mj - Gata Only,Benson Boone - Beautiful Things
Peru,WayV - Give Me That,Rvssian - Santa (feat. Rauw Alejandro & Ayra Starr),"Rvssian, Rauw Alejandro & Ayra Starr - Santa",La Única Tropical - PARTIDO EN DOS,La Única Tropical - PARTIDO EN DOS,Jimin - Like Crazy,Philippines,apl.de.ap & SB19 - Ready,"BINI - Salamin, Salamin",BINI - Pantropiko,TJ Monterde - Palagi,Maki - Dilaw,Jimin - Like Crazy
Poland,Disturbed - The Sound of Silence (CYRIL Remix),Kubi Producent - Woda Księżycowa (feat. bambi & Fukaj & stickxr),Eminem - Houdini,MODELKI - Chyba że z Tobą,Disturbed - The Sound of Silence (CYRIL Remix),Jimin - Like Crazy,Russia,Jazzdauren - Дарите женщинам цветы,"",Монеточка - Селфхарм,Jazzdauren - Дарите женщинам цветы,Женя Трофимов & Комната культуры - Поезда,Muse - Neutron Star Collision (Love Is Forever) (Soundtrack Version)
South Korea,"",Jimin - Like Crazy,뉴진스 - How Sweet,NewJeans - How Sweet,ECLIPSE - Sudden Shower,Tony Anderson - Éclosion,Spain,Teddy Swims - Lose Control,SAIKO - BADGYAL (feat. JC Reyes),"SAIKO, Dei V & JC Reyes - BADGYAL",Las Chuches - EL PANTALON (RUMBAS),CYRIL - Stumblin' In,Jungkook - Standing Next to You
Taiwan,"Kui - Life Goes On (TV Series ""A Wonderful Journey"" Interlude Song)",NewJeans - How Sweet,NewJeans - How Sweet,Energy - 星期五晚上,ILLIT - Magnetic,"",Thailand,BUS - แค่น้องชาย (brother zone),TEN - Nightwalker,Hozier - Too Sweet,บุ๊ค ศุภกาญจน์ - สวยขยี้ใจ,Hozier - Too Sweet,Jimin - Like Crazy
Turkey,Lvbel C5 - Sezen Aksu,ElMusto - Dale Don Dale,Lvbel C5 - Sezen Aksu,Reynmen - Renklensin,Okan & Volkan - İmalı,Jimin - Like Crazy,Vietnam,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),Jung Kook - Seven (feat. Latto),aespa - Supernova,Kiều Chi - Cẩm Tú Cầu (Kiều Chi Cover),10CM - Spring Snow,""
Albania,"","","",Dafina Zeqiri - Jom ka du me t’pa (feat. Yll Limani),"","",Algeria,"","","oh, the joy. - heavenly drizzle",Sofiane Asla - لي نخرج معاها,FloyyMenor & Cris Mj - Gata Only,Jimin - Like Crazy
Angola,"","",Anna Joyce - Outra Vez,Slow V - Alo Baby,"","",Anguilla,Natty Axa - Dumb,"",Kman 6ixx - Little Miss Best Body,"","",""
Antigua and Barbuda,"Elevation Worship - Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)","","Armanii, DJ Mac & CrashDummy - HAAD (Fiesta)","","","",Armenia,Steve Edwards - Happysad,"",Brunette - Superstar Illness,Aram Ovsepyan - Eli,"",""
Austria,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Hozier - Too Sweet,Jimin - Like Crazy,Azerbaijan,Röya - Gönder,"",Xcho & МОТ - Баллада,Aqsin Fateh - Seni Yanasan,Namiq Qasımov - Sərsəri Aşiq,""
Bahrain,Taylor Swift - Bejeweled,"",Sabrina Carpenter - Espresso,Ayed - عالم العشاق,"","",Bangladesh,"","","",Pritom Hasan - Maloma (feat. Dewan Arif),"",""
Barbados,Pet Shop Boys - Go West (2023 Remaster),"",Kman 6ixx - Little Miss Best Body,"","","",Belarus,Zivert - Life,Monetochka - Селфхарм,Monetochka - Селфхарм,Jazzdauren - Дарите женщинам цветы,Monetochka - Селфхарм,""
Belgium,Eminem - Houdini,Artemas - i like the way you kiss me,GIMS & DYSTINCT - SPIDER,Eminem - Houdini,CYRIL - Stumblin' In,Benson Boone - Beautiful Things,Belize,Machel Montano - Dance With You,"",FloyyMenor & Cris Mj - Gata Only,"Shenseea - Hit & Run (feat. Masicka & Stephen ""Di Genius"" McGregor)","",""
Benin,"","",Leto - Tout gâché,"","","",Bermuda,Wiz Khalifa - See You Again (feat. Charlie Puth),"",Central Cee & Lil Baby - BAND4BAND,"","",""
Bhutan,"","",Kuenga - ATARA (feat. Samphel),"","","",Bolivia,WayV - Give Me That,Trueno - REAL GANGSTA LOVE,Trueno - REAL GANGSTA LOVE,Tiago PZK - Piel,"",Jimin - Like Crazy
Bosnia and Herzegovina,"","","",Tea Tairović - TeaNucci,"","",Botswana,Zuma Dionys - Isha,"","Tyler ICU & DJ Maphorisa - Manzi Nte (feat. Masterpiece YVK, Ceeka RSA, M.J, Silas Africa & Alxapo)","","",""
British Virgin Islands,Chronic Law - Who Fi Trust,"","Armanii, DJ Mac & CrashDummy - HAAD (Fiesta)","","","",Brunei Darussalam,Joe Hisaishi - A Mother's Love,"","Robin, HOYO-MiX & Chevy - If I Can Stop One Heart From Breaking (Encore)",Ernie Zakri - Masing Masing,"",""
Bulgaria,CKay - love nwantiti (feat. Axel & Dj Yo!) [Remix],DJ Damyan - Окадар (feat. Emanuela),Dj Damyan & Emanuela - Окадар,DJ Damyan - Окадар,Disturbed - The Sound of Silence (CYRIL Remix),Jimin - Like Crazy,Burkina Faso,Dadju & Tayc - I love you,"",Manou beat - Saracoulé (feat. Ste Milano),"Team Paiya - Fimbu (feat. Didi B, Ste Milano, Tam Sir & 3xdavs)","",""
Cambodia,Real Madrid - Hala Madrid ...y nada más (feat. RedOne),"",Sabrina Carpenter - Espresso,Tena - Tena - ប្រពន្ធ​កំសត់​,"","",Cameroon,"","",Leto - Tout gâché,"Tam Sir - Coup du marteau (feat. Team Paiya, Ste Milano, Renard Barakissa, Tazeboy & PSK)","Brown Joel, BoyPee & Hyce - Ogechi",""
Cape Verde,Roberto Carlos - Esse Cara Sou Eu,"",Cesf - Distancia (feat. Kady),Cesf - Distancia (feat. Kady),"","",Cayman Islands,Christopher Martin - Guaranteed,"",Valiant - GodFada,"","",""
Chad,"","","Mavins, Crayon & Ayra Starr - Overloading (OVERDOSE) [feat. LADIPOE, Magixx & Boy Spyce]","","","",Chile,Benson Boone - Beautiful Things,Cris Mj - SI NO ES CONTIGO,Cris Mj - SI NO ES CONTIGO,FloyyMenor - Gata Only,Cris Mj - SI NO ES CONTIGO,Jimin - Like Crazy
China,"","",周杰伦 - 搁浅,"",NZBZ - Let It Go (feat. Lhains & Karma),"",Costa Rica,Marc Anthony - Vivir Mi Vida,Rvssian - Santa (feat. Rauw Alejandro & Ayra Starr),"Rvssian, Rauw Alejandro & Ayra Starr - Santa",J Abdiel - WYA,Benson Boone - Beautiful Things,Jimin - Like Crazy
Croatia,"","",SENIDAH - Delija,Tea Tairović - TeaNucci,"Jaxomy, Agatino Romero & Raffaella Carrà - Pedro",Senidah - Delija,Cyprus,Virtual Riot & Disciple - Heavy Bass Design Vol. 3 (Sample Pack Demo),SNIK - Bonnie,Sabrina Carpenter - Espresso,Unknown Artist - 5 Para 10 To Proi - Official Lyric Video,"",""
Czech Republic,Rohony & Manene - Letná,Rohony - Letná (feat. Manene),Hard Rico & Yzomandias - Narcos,Hard Rico - Narcos,Disturbed - The Sound of Silence (CYRIL Remix),Jimin - Like Crazy,Côte d'Ivoire,"","",Leto - Tout gâché,Josey - Tout laisse,Davy One - Jeu De Jambes,Tuna Hizmetli - SonNaz
Dem. Rep. of the Congo,"","","",Sandra Mbuyi - Goodness,"","",Denmark,Eminem - Houdini,Lamin - Hva Du På (feat. Gilli),Eminem - Houdini,Eminem - Houdini,Tobias Rahim - Dark Room (feat. ICEKIID),Ariana Grande - we can't be friends (wait for your love)
Dominica,Plumpy Boss - Bad Already,"",Ridge & Dirty Dawg Pudaz - B.D.Y.M.M.,"","","",Dominican Republic,Marc Anthony - Vivir Mi Vida,J Abdiel - WYA REMIX RED (feat. De La Rose & Yan Block & iZaak & Jay Wheeler),Amenazzy & NTG - EBRIO,Lomiiel - HAY LUPITA,"",""
Ecuador,Majid Razavi - Moteasefane,Feid - LUNA (feat. ATL Jacob),Feid & ATL Jacob - LUNA,Black Eyed Peas - TONIGHT (Bad Boys: Ride Or Die) (feat. Becky G),ADAM - Zhurek,Criança Prodígio - Martinillo (Con Suave Sonido del Mar),Egypt,Abu - 3 Daqat (feat. Yousra),Shehab - عالعموم,Billie Eilish - CHIHIRO,Houda Bondok - Rawa2an - روقان,FloyyMenor & Cris Mj - Gata Only,Mauvé - Like a Dream
El Salvador,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),Feid - LUNA (feat. ATL Jacob),Feid & ATL Jacob - LUNA,FloyyMenor - Gata Only,"",Jimin - Like Crazy,Estonia,Eminem - Houdini,nublu - push it (feat. maria kallastu),nublu - push it (feat. maria kallastu),Nublu - nublu - push it feat. maria kallastu (feat. maria kallastu),"",Baby Sleep With White Noise - Premium Brown Noise: Best of Constant Pacific Ocean Roar Sounds to Induce Sleep
Ethiopia,"","","",Andualem Gosa - Bilillee,"","",Fiji,BentiBoys Africa - Wana Wankya,"",Davido - KANTE (feat. Fave),Hillsong Chapel - I Will Exalt You (Fijian),"",""
Finland,Eminem - Houdini,Mirella - Luotathan (feat. Lauri Haav),Mirella & Lauri Haav - Luotathan,Eminem - Houdini,Benjamin & BESS - Paremmin ku kukaan muu,Mirella - Luotathan,Gambia,J'calm - Roses,"",Central Cee & Lil Baby - BAND4BAND,"","",""
Georgia,"","","",ჯგუფი ურსა - ნუ გიყვარს ქალავ,"","",Ghana,Alala - Take My Breath Away (Epic Version),"",Team Eternity Ghana - Defe Defe,Team Eternity Ghana - Defe Defe,Team Eternity Ghana - Defe Defe,""
Greece,Nikos Karvelas & Mc daddy - Tigano,SNIK - Bonnie,SNIK - Bonnie,Marina Satti - LALALALA,RAFFA GUIDO - Famax,"",Grenada,Tonic X & Big Red HD - Ash to Ash,"",SQUASH - Big Breeze,"","",""
Guatemala,Un Corazón - 1000 Pedazos (feat. Kim Richards & Louie Abrego),Luis R Conriquez - Si No Quieres No (feat. Neton Vega),Natanael Cano & Óscar Maydon - Madonna,Julion Alvarez y Su Norteño Banda - Regalo De Dios,"",Mejor sonido de lluvia para dormir - Naturaleza Lluvia Sonido,Guinea-Bissau,Juliette - Solar,"",Brent Faiyaz - WY@,"","",""
Guyana,"","",Kman 6ixx - Little Miss Best Body,"Shenseea - Hit & Run (feat. Masicka & Stephen ""Di Genius"" McGregor)","","",Honduras,Marc Anthony - Vivir Mi Vida,Feid - LUNA (feat. ATL Jacob),Myke Towers & Bad Bunny - ADIVINO,Grupo Frontera - EL AMOR DE SU VIDA,"",Jimin - Like Crazy
Hong Kong,Kiri T - 至少做一件離譜的事,Keung To - 好得太過份,NewJeans - How Sweet,Yan Ting - 三生有幸,"","",Hungary,Disturbed - The Sound of Silence (CYRIL Remix),DESH - Strawberry,Desh - Strawberry,DESH - Strawberry,Disturbed - The Sound of Silence (CYRIL Remix),Jungkook - Seven (feat. Latto)
Iceland,"",Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,"","",Ireland,Eminem - Houdini,Sabrina Carpenter - Espresso,Sabrina Carpenter - Espresso,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),Jimin - Like Crazy
Israel,Tuna & Jasmin Moallem - סהרה (Live),Omer Adam - ראיתי עולם (feat. ShrekDiMC),Omer Adam & ShrekDiMC - ראיתי עולם,Omer Adam - ראיתי עולם,FloyyMenor & Cris Mj - Gata Only,Chaka Khan - Ain't Nobody,Jamaica,"","",Valiant - GodFada,Skippa - Skippa - Reminder | Official Music Video,"",Jimin - Like Crazy
Jordan,Insomnium - Heart Like a Grave,"",Eminem - Houdini,Nassif Zeytoun - Ma Fi Leil,"","Max Richter - Recomposed By Max Richter: Vivaldi, The Four Seasons : Richter: Recomposed By Max Richter: Vivaldi, The Four Seasons - Spring 1 (2012)",Kazakhstan,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),Xcho - Баллада (feat. МОТ),Xcho & МОТ - Баллада,Sadraddin - Aman bolşy süigenım,Basta - One Love (feat. Rem Digga),""
Kenya,ATEEZ & Don Diablo - WORK Pt.2 - ATEEZ X Don Diablo,"",Ayra Starr & Seyi Vibez - Bad Vibes,Israel Mbonyi - Nina Siri (Live),Uncle Eddy - Bilima Nindo (Extended Version),Rm - LOST!,Kosovo,"","","",Lena Zevgara - Ola Ston Aera - Official Music Video,"",""
Kuwait,"","",Billie Eilish - BIRDS OF A FEATHER,Ayed - عالم العشاق,"","",Kyrgyzstan,"Gustavo Santaolalla - Bibo no Aozora , Endless Flight, Babel (feat. Everton Nelson & Jaques Morelenbaum) [Pasha Music Remix Version]","",Xcho & МОТ - Баллада,"Ozoda Nursaidova - Ko""k jiguli","",""
Laos,VKL & Alex $Moke - SABAIDEE,"",Sabrina Carpenter - Espresso,เบนซ์ ปรีชา - สีแชทบ่คือเก่า,"","",Latvia,Rarin - Kompa (Sped Up),Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,"",Razorlight - Golden Touch (Full Length)
Lebanon,Adele - Hello,"",Billie Eilish - BIRDS OF A FEATHER,Al Shami - Khodni,"",هاروت عزيز - ميكس أغاني عربية رومانسية,Liberia,"","",Ayra Starr & GIVĒON - Last Heartbreak Song,"","",""
Libya,"","",Souf - cœur qui saigne,Samara - Souk,"","",Lithuania,Park Atomic - Morning Glory,Jessica Shy - Žvaigždės,Jessica Shy - Žvaigždės,Rokas Yan - Gegužis,"",Jungkook - Standing Next to You
Luxembourg,AYLIVA & Apache 207 - Wunder,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,"","",Macau,"Hebe Tien - A Little Happiness (From ""Our Times"")","",NewJeans - How Sweet,"","",""
Madagascar,"","","Shenseea, Masicka & Di Genius - Hit & Run",Lima - Mamay,"","",Malawi,"","",Ayra Starr & GIVĒON - Last Heartbreak Song,"","",""
Malaysia,ECLIPSE - Sudden Shower,Sabrina Carpenter - Espresso,Sabrina Carpenter - Espresso,Pudar Gazza - Suci (Official SpeedUp 2),Yuzhou Wang Leto & 乔浚丞 - 若月亮没来(若是月亮还没来),V - FRI(END)S,Maldives,"","",Ariana Grande - we can't be friends (wait for your love),Sabrina Carpenter - Espresso,"",""
Mali,"","",Central Cee & Lil Baby - BAND4BAND,Tonton Pal - 26 mars kôno,"","",Malta,Soċjetà Mużikali Madonna tal-Ġilju - Żgħażagħ Dominanti,"",Sabrina Carpenter - Espresso,Eminem - Houdini,"",""
Mauritania,"","",Maher Ma'aiqli - Al-Baqarah,Mia Guisse - Gauche & Droite,"","",Mauritius,Lenny Kravitz - Again,"",FloyyMenor & Cris Mj - Gata Only,666RAQUEL/666ARMADA - ZANTAKWAN 2024 (Special Version),"",""
Micronesia,Jung Kook - Still With You,"",Shenseea - Die For You,"","","",Moldova,Dr. Dre - The Message (Instrumental),"","The Limba, Misha Miller & Andro - Mamma Mia (feat. Dyce)",Magnat & Feoctist - Dă-mă mamă după Iura,"",""
Mongolia,Tomohisa Yamashita - Perfect Storm (feat. TAEHYUN),"",The Royal Heartaches - 6X6,The Royal Heartaches - 6x6,"","",Montserrat,"","",Ding Dong - Watch a Style Yah,"","",""
Morocco,"",Lbenj - HWASI,"",Lbenj - هواسي,FloyyMenor & Cris Mj - Gata Only,TOMORROW X TOGETHER - Deja Vu,Mozambique,Adele - Hello,"",Anna Joyce - Outra Vez,Mr. Bow - Winners,J Levy & Labo Music - Alô Baby,""
Myanmar,"","",Jimin - Like Crazy,"","","",Namibia,Ed Sheeran - Perfect,"",Ayra Starr & GIVĒON - Last Heartbreak Song,DJ Vuyo - Dorado,"",""
Nepal,Purna Rai - Kalo/Seto,"",V - FRI(END)S,Rita Thapa Magar - A Aama Jaam Bhanyo Malai,"","",New Zealand,Eminem - Houdini,Tommy Richman - MILLION DOLLAR BABY,Eminem - Houdini,Eminem - Houdini,Shaboozey - A Bar Song (Tipsy),""
Nicaragua,Confucio y Bopero - Nunca Do You Like (feat. Jochy Santos & Daniel Sarcos),Plan B - Es un Secreto,Myke Towers & Bad Bunny - ADIVINO,Lomiiel - HAY LUPITA,"","",Niger,"Mavins - Dorobucci (feat. Don Jazzy, Dr. Sid, Tiwa Savage, Reekado Banks, Di'Ja, Korede Bello & D'Prince)","",Asake - Lonely At The Top,"","",""
Nigeria,Nassif Zeytoun - Aw'at (Acoustic Version),TitoM - Tshwala Bam (feat. Yuppe & Burna Boy & S.N.E),Ayra Starr & Seyi Vibez - Bad Vibes,TitoM - Tshwala Bam (feat. S.N.E & EeQue),MDU aka TRP & Bongza - Boomerang,Playlist D Alien - Naomi,North Macedonia,"","",SENIDAH - Delija,Tea Tairović - TeaNucci,"",""
Norway,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,FloyyMenor & Cris Mj - Gata Only,Ariana Grande - we can't be friends (wait for your love),Oman,هشام الهتار - لبيك اللهم,"",FloyyMenor & Cris Mj - Gata Only,Ayed - عالم العشاق,"",""
Pakistan,"","Ram Sampath - Sajni (From ""Laapataa Ladies"") (feat. Arijit Singh & Prashant Pandey)","",Gippy Grewal - 90-90 Nabbe Nabbe,"","",Panama,Tommy Richman - MILLION DOLLAR BABY (VHS),SANTI SERRA - LA VIDA BUENA,"Rvssian, Rauw Alejandro & Ayra Starr - Santa",Josuan - Yelena (Remix) (feat. Bin$ho & Andiex),"",""
Papua New Guinea,Adele - Hello,"",Tommy Richman - MILLION DOLLAR BABY,"","","",Paraguay,Martin Pepper - Die Stille lebt (feat. Uli Kringler),Tiago PZK - Piel (feat. Ke Personajes),Myke Towers & Bad Bunny - ADIVINO,ILLSLICK - Homies Feat. LILY,"",V - FRI(END)S
Portugal,RM - Nuts,DJ TOPO - MTG QUEM NÃO QUER SOU EU,"Mizzy Miles, Van Zee & Bispo - Bênção",Eminem - Houdini,Disturbed - The Sound of Silence (CYRIL Remix),Thunderstorm Global Project from TraxLab - Rainstorm in the Woods (Part 03),Puerto Rico,"","","",J Abdiel - WYA,"",""
Qatar,IU - Love wins all,"",Sabrina Carpenter - Espresso,Dabzee - Illuminati,"","",Republic of the Congo,"","",Pluie et Tonnerre de TraxLab - Tonnerre Lointain pour Bien Dormir (P01),"","",""
Romania,Andia - De la dela,Gya - Baklava (feat. Babasha),Babasha & Ministerul Manelelor - Păi naa,Babasha - Păi naa,Disturbed - The Sound of Silence (CYRIL Remix),Jimin - Like Crazy,Réunion,"","","",Secteur 410 - Héritaz,"",""
Saint Kitts and Nevis,The Lucid Wave - Life Changes (feat. Harper Flynt) [Instrumental Version],"",SQUASH - Big Breeze,"","","",Saudi Arabia,Lil Nas X - SUN GOES DOWN,Sabrina Carpenter - Espresso,Billie Eilish - BIRDS OF A FEATHER,Ayed - عالم العشاق,FloyyMenor & Cris Mj - Gata Only,V - FRI(END)S
Senegal,"","",Xiirsa - Tout Donner (feat. AMADEUS),Mia Guisse - Gauche & Droite,Xiirsa - Tout Donner (feat. AMADEUS),Xiirsa - Tout Donner,Serbia,"","",SENIDAH - Delija,Tea Tairović - TeaNucci,"",Senidah - Delija
Seychelles,"","",Shenseea - Tap Out,"","","",Sierra Leone,"","",Ayra Starr & GIVĒON - Last Heartbreak Song,"","",""
Singapore,Eminem - Houdini,Sabrina Carpenter - Espresso,Sabrina Carpenter - Espresso,Eminem - Houdini,Hozier - Too Sweet,Jimin - Like Crazy,Slovakia,Disturbed - The Sound of Silence (CYRIL Remix),Calin - Window Shopper,Calin - Window Shopper,Jaxomy - Pedro,"",Jungkook - Standing Next to You
Slovenia,TWO LANES - Another Time (feat. Kwesi),"",SENIDAH - Delija,Gojko Hitmacher Ajkula - Polka za 2 milijona folka,"",Paloma Faith - Let Me Down Easy,Solomon Islands,"","",Yang Kun & Amber Kuo - 答案,"","",""
South Africa,Eminem - Houdini,Kendrick Lamar - Not Like Us,Shaboozey - A Bar Song (Tipsy),TitoM - Tshwala Bam (feat. S.N.E & EeQue),"Tyler ICU & DJ Maphorisa - Manzi Nte (feat. Masterpiece YVK, Ceeka RSA, M.J, Silas Africa & Alxapo)",Shaboozey - A Bar Song (Tipsy),Sri Lanka,ATEEZ - WORK,"",Sabrina Carpenter - Espresso,Yashodha Medagedara - Mai Mal (මැයි මල්),"",""
St. Lucia,"","",Kman 6ixx - Little Miss Best Body,"","","",St. Vincent and The Grenadines,"","",RajahWild - Inferno,"","",""
Suriname,"","",Central Cee - Entrapreneur,YoungBoss - Fast Life,"","",Swaziland,Lloyiso - Dream About You,"","Tyler ICU & DJ Maphorisa - Manzi Nte (feat. Masterpiece YVK, Ceeka RSA, M.J, Silas Africa & Alxapo)","","",""
Sweden,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Augustifamiljen & Loney Dear - Jag väntar vid min mila,Ariana Grande - we can't be friends (wait for your love),Switzerland,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,Eminem - Houdini,FloyyMenor & Cris Mj - Gata Only,Ariana Grande - we can't be friends (wait for your love)
Tajikistan,Imagine Dragons - Demons (Live in Vegas),"",FloyyMenor & Cris Mj - Gata Only,"","","",Tanzania,"","",Ayra Starr & GIVĒON - Last Heartbreak Song,BILLNASS - Billnass feat Jux - Maboss (Visualiser) (feat. Jux),Billnass & Jux - Maboss,""
The Bahamas,Jack Off Jill - Strawberry Gashes,"",Kman 6ixx - Little Miss Best Body,"Shenseea - Hit & Run (feat. Masicka & Stephen ""Di Genius"" McGregor)","","",Trinidad and Tobago,Lords of the Underground - Funky Child,"",SQUASH - Big Breeze,"Shenseea - Hit & Run (feat. Masicka & Stephen ""Di Genius"" McGregor)","",""
Tunisia,"","",Andy Duguid - Be,Samara - Souk,FloyyMenor & Cris Mj - Gata Only,Islam Sobhi - سورة البقرة,Turkmenistan,David Guetta & Bebe Rexha - I'm Good (Blue),"",Sabrina Carpenter - Espresso,"","",""
Turks and Caicos,"","",Central Cee & Lil Baby - BAND4BAND,"","","",Uganda,Ed Sheeran - Perfect,"",Ayra Starr & GIVĒON - Last Heartbreak Song,Rema namakula - Love Commissioner (feat. David Lutalo),Darkoo & Dess Dior - Favourite Girl,""
Ukraine,Пиріг - Гаї шумлять (1913),Artemas - i like the way you kiss me,MONATIK - А що?,Skolim - BEBECITA,Пиріг - Гаї шумлять (1913),Jimin - Like Crazy,United Arab Emirates,Meghan Trainor - Made You Look,Sabrina Carpenter - Espresso,Sabrina Carpenter - Espresso,Dabzee - Illuminati,FloyyMenor & Cris Mj - Gata Only,Pharaoh - Lost They Mind (Single)
Uruguay,"","Los Ángeles Azules - Perdonarte, ¿Para Qué? (feat. Emilia)","Los Ángeles Azules & Emilia - Perdonarte, ¿Para Qué?",Valentino Merlo - Hoy,Benson Boone - Beautiful Things,"",Uzbekistan,Sevara Nazarkhan - Meni Sev (Pacman Remix),"",Basta & HammAli & Navai - Где ты теперь и с кем,Xamdam Sobirov - Malohat,Gaybulla Tursunov - Janona,""
Venezuela,Marc Anthony - Vivir Mi Vida,Feid - LUNA (feat. ATL Jacob),RM - Come back to me,J Abdiel - WYA,"J Abdiel, De La Rose & Yan Block - WYA REMIX RED (feat. Jay Wheeler & iZaak)",Jimin - Like Crazy,Yemen,"","",Metro Boomin & Young Thug - Metro Spider,حسين الشريف - Hussein Al-Sharif - يا حليب الناقة كاملة - حسين الشريف النسخة الاصلية كاملة 2024,"",""
Zambia,"","","","",Chris Brown - Angel Numbers / Ten Toes,"",Zimbabwe,Adele - Hello,"",Killer T - Kana Ndanyura,Killer T - Kana Ndanyura,"",""
