Artist,Total,100M
Bad Bunny,"32,776.4",78
BTS,"32,389.6",74
Justin Bieber,"29,711.3",39
Ed Sheeran,"29,200.0",40
Taylor Swift,"28,367.8",45
Shakira,"27,948.2",48
Blackpink,"27,521.1",44
Katy Perry,"25,026.4",26
Ozuna,"24,512.6",50
Eminem,"23,563.3",39
Ariana Grande,"22,646.3",38
Daddy Yankee,"22,348.6",44
J Balvin,"21,836.0",35
The Weeknd,"21,705.0",36
Maroon 5,"21,050.1",30
Karol G,"20,486.4",36
Maluma,"20,458.6",34
Rihanna,"20,432.3",36
Bruno Mars,"18,734.8",21
Marília Mendonça,"18,566.8",56
Enrique Iglesias,"17,937.2",31
David Guetta,"17,161.9",33
Coldplay,"16,832.4",22
Romeo Santos,"16,439.9",34
Beyoncé,"16,301.1",39
Henrique e Juliano,"15,961.1",43
Nicky Jam,"15,854.6",30
Anuel AA,"15,555.0",31
Gusttavo Lima,"15,534.2",41
Imagine Dragons,"15,401.8",23
Calvin Harris,"15,266.1",22
Chris Brown,"15,080.0",38
Marshmello,"15,057.7",30
Luis Fonsi,"15,055.1",12
Lady Gaga,"14,886.7",30
Alan Walker,"13,772.6",20
Adele,"13,707.3",18
TWICE,"13,556.2",27
Guru Randhawa,"13,493.4",33
Michael Jackson,"13,469.6",27
The Chainsmokers,"13,386.1",20
Banda MS,"13,280.1",29
Wiz Khalifa,"13,171.5",15
Post Malone,"13,119.5",20
Pitbull,"13,033.9",22
Linkin Park,"12,778.0",25
One Direction,"12,719.5",19
YoungBoy Never Broke Again,"12,694.5",30
Sia,"12,692.2",17
Gummibär,"12,655.3",14
Selena Gomez,"12,526.3",30
Arijit Singh,"12,280.0",23
Zé Neto e Cristiano,"12,213.4",35
Neha Kakkar,"12,061.2",20
Drake,"11,982.1",23
Billie Eilish,"11,909.6",27
Los Ángeles Azules,"11,896.8",29
Shawn Mendes,"11,768.2",18
Yo Yo Honey Singh,"11,216.1",37
twenty one pilots,"11,090.5",16
Rauw Alejandro,"11,059.0",25
PSY,"10,864.5",10
Dua Lipa,"10,783.2",19
Becky G,"10,545.3",14
The Black Eyed Peas,"10,479.7",20
Sebastián Yatra,"10,246.8",20
Jennifer Lopez,"10,084.0",25
Queen,"10,008.2",18
Nicki Minaj,"9,953.8",28
Avicii,"9,819.7",19
Jorge & Mateus,"9,721.6",26
Miley Cyrus,"9,630.9",23
XXXTENTACION,"9,443.6",19
Major Lazer,"9,428.6",13
Charlie Puth,"9,326.5",11
DJ Snake,"9,318.2",13
50 Cent,"9,311.7",15
Future,"9,291.2",14
Sam Smith,"9,271.3",13
Badshah,"9,126.4",18
Farruko,"9,106.2",21
Arcangel,"8,640.2",20
Jason Derulo,"8,561.0",22
Crazy Frog,"8,555.1",13
BIGBANG,"8,477.4",24
Martin Garrix,"8,327.4",15
CantaJuego,"8,324.5",14
Skrillex,"8,324.0",16
Wesley Safadão,"8,322.9",19
Christian Nodal,"8,307.9",19
Reik,"8,212.1",23
Anitta,"8,147.7",22
HA-ASH,"8,145.5",18
Sidhu Moose Wala,"8,139.6",20
Bizarrap,"8,099.3",28
Natti Natasha,"8,086.9",13
6ix9ine,"8,020.5",16
Paulo Londra,"8,017.0",17
MattyB,"8,005.3",21
Patati Patatá,"8,003.9",19
Guns N' Roses,"7,936.3",8
Don Omar,"7,907.9",16
Myke Towers,"7,875.3",16
Britney Spears,"7,802.2",26
Fifth Harmony,"7,717.6",9
Meghan Trainor,"7,669.3",8
P!nk,"7,667.5",23
Mariah Carey,"7,644.8",16
Matheus & Kauan,"7,631.8",18
AC/DC,"7,517.1",14
Migos,"7,499.1",14
Clean Bandit,"7,395.0",9
Juice WRLD,"7,299.7",14
OneRepublic,"7,285.8",10
Chino & Nacho,"7,279.5",13
Hariharan,"7,184.2",10
Cartel de Santa,"7,164.2",24
Little Mix,"7,158.2",17
Cardi B,"7,153.6",13
Lil Baby,"7,128.1",19
Kevin Gates,"7,121.5",16
Travis Scott,"7,102.6",15
Idina Menzel,"7,082.5",7
Prince Royce,"7,082.1",18
Piso 21,"7,067.6",11
Maître Gims,"6,960.1",18
CNCO,"6,947.7",16
Ricky Martin,"6,890.8",11
Calibre 50,"6,762.2",17
DJ Khaled,"6,740.9",11
Demi Lovato,"6,731.4",13
Boyce Avenue,"6,708.5",10
Justin Timberlake,"6,700.2",13
Maiara & Maraisa,"6,683.8",14
Thalia,"6,639.0",12
Stray Kids,"6,638.4",13
EXO,"6,600.4",17
Grupo Firme,"6,565.5",18
Jass Manak,"6,534.3",16
Red Hot Chili Peppers,"6,531.1",14
Ellie Goulding,"6,523.6",10
Inna,"6,485.0",18
Bon Jovi,"6,439.3",9
Lana Del Rey,"6,427.4",16
Juan Gabriel,"6,367.6",11
Manuel Turizo,"6,342.6",11
Metallica,"6,329.1",8
Luan Santana,"6,319.9",17
Ricardo Arjona,"6,286.1",11
Yasmin Verissimo,"6,191.5",17
Mark Ronson,"6,143.6",3
Wisin,"6,091.6",12
Akon,"6,072.7",9
Aventura,"6,031.5",16
Madonna,"6,004.5",12
Camila Cabello,"5,991.3",13
Avril Lavigne,"5,957.2",16
Nio García,"5,938.3",10
Kodak Black,"5,933.2",13
Marc Anthony,"5,932.3",16
Doja Cat,"5,897.0",17
Wisin & Yandel,"5,889.6",15
Haschak Sisters,"5,869.1",16
Whitney Houston,"5,867.0",11
Pentatonix,"5,866.5",13
Sean Paul,"5,847.5",11
Jul,"5,836.6",6
Camilo,"5,833.1",16
Hillsong Worship,"5,805.0",12
Lil Nas X,"5,726.4",10
Mohamed Ramadan,"5,694.0",9
Feid,"5,656.3",12
Lil Wayne,"5,601.7",9
Carlos Vives,"5,568.1",8
Maná,"5,516.8",19
G-Eazy,"5,515.9",8
Tyga,"5,431.3",7
Vicente Fernández,"5,417.7",13
Jessie J,"5,371.3",9
Plan B,"5,335.5",13
MC Kevinho,"5,325.1",12
Kygo,"5,307.2",11
Jesse & Joy,"5,270.6",10
Rahat Fateh Ali Khan,"5,263.6",12
Rosalía,"5,262.8",7
Usher,"5,234.4",15
Monkan Kankoon,"5,197.9",14
Nirvana,"5,197.2",8
Macklemore & Ryan Lewis,"5,097.9",8
Khalid,"5,077.1",10
Illslick,"5,054.4",12
Elissa,"5,051.8",10
Girls' Generation,"5,023.5",11
Flo Rida,"5,022.2",13
Machine Gun Kelly,"5,013.9",10
Rammstein,"5,006.0",17
Harry Styles,"5,003.7",10
Yuridia,"4,994.9",12
Sech,"4,991.4",12
Jubin Nautiyal,"4,965.9",6
Pablo Alborán,"4,964.5",11
Backstreet Boys,"4,957.3",9
TINI,"4,945.4",17
LMFAO,"4,936.9",6
Morat,"4,917.3",9
ZAYN,"4,896.6",5
Kenshi Yonezu,"4,882.2",13
Saad Lamjarred,"4,880.0",14
El Alfa,"4,876.3",13
Kanye West,"4,851.6",16
Dhanush,"4,843.6",8
Silvestre Dangond,"4,832.1",7
Seventeen,"4,830.2",7
Simone & Simaria,"4,806.2",11
Gorillaz,"4,789.7",11
Pop Smoke,"4,740.5",13
El Chombo,"4,654.7",1
Hussain Al Jassmi,"4,635.9",7
Lil Durk,"4,625.8",6
Meet Bros,"4,611.0",12
Adexe & Nau,"4,600.4",8
Rod Wave,"4,590.3",8
Lil Pump,"4,575.8",11
Kevin Roldan,"4,572.7",11
Hungria Hip Hop,"4,571.7",14
Céline Dion,"4,567.9",11
NCT,"4,554.8",12
Zion & Lennox,"4,531.6",10
Mon Laferte,"4,438.2",9
Bryan Adams,"4,432.1",10
Passenger,"4,412.4",1
Santa Fe Klan,"4,409.7",7
Yandel,"4,402.5",8
21 Savage,"4,362.9",8
La Adictiva Banda San José de Mesillas,"4,330.0",8
Halsey,"4,301.7",8
Atif Aslam,"4,277.8",9
System of a Down,"4,262.1",9
Melendi,"4,250.1",4
Chayanne,"4,247.8",14
Bruno e Marrone,"4,246.8",7
Ludmilla,"4,245.5",10
Carlos Rivera,"4,200.5",17
Slipknot,"4,162.1",10
Alejandro Fernández,"4,157.5",7
Nelly,"4,156.9",8
Rae Sremmurd,"4,150.6",10
Kendrick Lamar,"4,140.8",13
Fuerza Regida,"4,131.1",13
Lil Uzi Vert,"4,102.8",9
Dalex,"4,078.3",8
Luis Miguel,"4,050.6",10
Tiësto,"4,010.9",8
Panic! at the Disco,"3,980.3",7
Nour Al Zain,"3,971.2",8
Nickelback,"3,965.3",11
DaBaby,"3,961.1",7
Jhay Cortez,"3,927.1",5
Christina Aguilera,"3,924.5",12
Iggy Azalea,"3,872.9",9
Melanie Martinez,"3,867.2",11
Cali y El Dandee,"3,865.9",9
Marco Antonio Solís,"3,859.0",14
J.Fla,"3,853.5",6
Young Thug,"3,848.2",10
Arctic Monkeys,"3,842.0",6
Ariel Camacho y Los Plebes Del Rancho,"3,836.2",9
Abba,"3,831.1",11
Emiway Bantai,"3,820.6",8
Jonas Blue,"3,780.8",7
Little Big,"3,775.8",9
Cosculluela,"3,771.9",7
Grupo Frontera,"3,756.3",9
Peso Pluma,"3,749.6",12
Evanescence,"3,744.5",7
Lindsey Stirling,"3,743.8",9
Duki,"3,738.1",10
Justin Quiles,"3,731.7",5
Banda Los Recoditos,"3,729.7",11
Kurt Hugo Schneider,"3,706.8",5
Danny Ocean,"3,703.2",6
C-Kan,"3,670.4",8
Bebe Rexha,"3,660.4",5
Christina Perri,"3,652.8",3
John Legend,"3,637.4",4
Green Day,"3,633.0",7
LP,"3,615.7",7
Meek Mill,"3,611.7",8
Bryant Myers,"3,591.7",10
Lil Peep,"3,591.4",8
Soolking,"3,589.2",10
NF,"3,586.9",6
Alejandro Sanz,"3,568.3",6
MC Livinho,"3,566.5",10
Stromae,"3,566.1",6
Pharrell Williams,"3,558.6",6
Tribo da Periferia,"3,548.3",8
Pedro Capó,"3,533.1",2
Bee Gees,"3,523.5",8
Gabriela Rocha,"3,518.4",6
Pulcino Pio,"3,517.5",6
Alicia Keys,"3,508.0",7
La Oreja de Van Gogh,"3,501.4",7
Vishal Dadlani,"3,492.8",10
Violetta,"3,483.6",4
La Arrolladora Banda El Limón De René Camacho,"3,476.3",11
Naiara Azevedo,"3,476.2",9
Gustavo Mioto,"3,457.8",9
The Beatles,"3,445.4",12
Modern Talking,"3,443.7",8
Alex Rose,"3,435.8",6
Jay Chou,"3,432.5",4
Rels B,"3,427.8",5
Armin van Buuren,"3,411.9",5
James Arthur,"3,407.6",4
Khea,"3,402.4",11
GOT7,"3,367.5",9
Zedd,"3,345.1",10
Zé Felipe,"3,334.0",10
Jay Wheeler,"3,330.2",7
Ciara,"3,329.5",12
Aviões do Forró,"3,320.7",7
Gucci Mane,"3,320.1",2
Brytiago,"3,310.1",7
Maria Becerra,"3,291.7",12
Eladio Carrión,"3,272.5",6
Miyagi,"3,261.2",4
Río Roma,"3,243.5",9
Gerardo Ortiz,"3,243.2",11
Ne-Yo,"3,236.2",10
Paramore,"3,221.2",10
Camila,"3,219.9",9
Dr. Dre,"3,217.1",5
Harrdy Sandhu,"3,216.7",7
(G)I-DLE,"3,207.2",9
French Montana,"3,206.7",3
Luke Combs,"3,167.3",8
Zoé,"3,160.7",6
Yoasobi,"3,160.1",11
Udit Narayan,"3,157.5",8
Aerosmith,"3,153.3",7
La K'onga,"3,149.3",5
Greeicy,"3,144.4",8
Mac Miller,"3,140.3",5
Five Finger Death Punch,"3,139.3",9
The Cranberries,"3,128.8",5
Red Velvet,"3,123.7",12
Ankush Raja,"3,113.4",6
Dilsinho,"3,109.9",6
Jesús Adrián Romero,"3,103.8",8
Calle 13,"3,084.3",10
Aya Nakamura,"3,078.7",6
Gente De Zona,"3,064.2",4
La Trakalosa de Monterrey,"3,019.1",8
Hugo & Guilherme,"3,016.2",7
Jon Z,"2,999.2",8
Son Tung M-TP,"2,993.3",11
Childish Gambino,"2,976.9",7
A$AP Rocky,"2,964.6",4
Ferrugem,"2,963.2",9
Ava Max,"2,962.3",6
Anne-Marie,"2,959.5",7
Daft Punk,"2,952.2",5
MAGIC!,"2,950.8",2
Soprano,"2,936.8",11
Selena,"2,925.4",9
Zara Larsson,"2,924.8",4
Olivia Rodrigo,"2,917.8",8
Morgan Wallen,"2,915.9",8
Westlife,"2,914.8",6
Oasis,"2,900.4",7
YNW Melly,"2,899.0",9
Franco De Vita,"2,892.4",8
Kratai Phannipha,"2,891.1",6
Gloria Trevi,"2,885.6",5
NLE Choppa,"2,882.8",9
Gera MX,"2,880.1",4
Elton John,"2,863.7",7
George Michael,"2,857.1",5
Amr Diab,"2,857.1",4
Depeche Mode,"2,856.9",7
T.I.,"2,856.2",7
Turma do Pagode,"2,852.3",8
L'Algérino,"2,843.8",9
Moneybagg Yo,"2,841.5",2
Dimitri Vegas & Like Mike,"2,821.1",4
Carla Morrison,"2,816.8",7
Robin Schulz,"2,810.4",6
Sorriso Maroto,"2,805.5",4
The Pussycat Dolls,"2,802.0",8
Labanoon,"2,799.7",7
Mustafa Ceceli,"2,795.9",9
Polo G,"2,787.5",5
Swedish House Mafia,"2,787.1",5
will.i.am,"2,783.7",6
Fetty Wap,"2,762.0",7
Tarkan,"2,759.1",5
Fall Out Boy,"2,754.3",8
Rod Stewart,"2,752.4",5
Calum Scott,"2,748.8",4
Zé Vaqueiro,"2,743.8",8
Mamamoo,"2,730.0",4
Himesh Reshammiya,"2,706.6",3
David Bisbal,"2,704.6",6
Natanael Cano,"2,702.5",9
5 Seconds of Summer,"2,699.7",5
MCs Zaac & Jerry,"2,697.6",8
Sean Kingston,"2,692.2",4
Foo Fighters,"2,688.5",6
The Lonely Island,"2,679.3",9
a-ha,"2,672.4",3
Snoop Dogg,"2,649.4",7
Mau y Ricky,"2,640.9",3
Kelly Clarkson,"2,632.0",4
J. Cole,"2,631.5",7
Felipe Araújo,"2,630.9",8
Lukas Graham,"2,628.9",4
Avenged Sevenfold,"2,603.8",8
Soda Stereo,"2,587.2",6
Dhvani Bhanushali,"2,585.4",2
Roddy Ricch,"2,580.2",6
Canserbero,"2,576.9",6
Alka Yagnik,"2,559.8",6
Trey Songz,"2,552.3",4
Disturbed,"2,549.9",3
Muse,"2,549.5",6
YOUNGOHM,"2,540.5",8
De La Ghetto,"2,534.4",3
Ado,"2,530.1",6
Juanes,"2,529.5",9
Leningrad,"2,529.2",6
Piccolo Coro dell'Antoniano,"2,522.1",6
Luke Bryan,"2,520.3",8
Lewis Capaldi,"2,516.8",5
Super Junior,"2,500.6",7
Diego & Victor Hugo,"2,500.1",7
ITZY,"2,489.0",8
Koray Avcı,"2,486.4",8
Rag'n'Bone Man,"2,486.2",2
A Boogie wit da Hoodie,"2,465.5",4
HITS Records,"2,457.2",6
R. Kelly,"2,449.0",6
Logic,"2,444.4",4
Kendji Girac,"2,440.1",10
Gotye,"2,437.8",1
Megan Thee Stallion,"2,435.0",8
U2,"2,432.8",6
Amy Winehouse,"2,422.8",4
Official HIGE DANdism,"2,422.1",8
Carly Rae Jepsen,"2,416.1",2
Tones and I,"2,409.6",1
iKON,"2,407.2",3
Indila,"2,403.6",4
YG,"2,399.1",6
Nelly Furtado,"2,381.5",4
Jessi Uribe,"2,377.1",7
Rita Ora,"2,376.7",4
Andrea Bocelli,"2,368.8",5
Lunay,"2,352.7",6
Tierry,"2,351.8",3
Shreya Ghoshal,"2,350.3",5
Danna Paola,"2,349.3",4
Burna Boy,"2,348.8",5
Russ,"2,336.2",6
Alemán,"2,332.7",3
MC Pedrinho,"2,325.5",7
Desiigner,"2,323.4",4
Tove Lo,"2,323.4",3
MC Kevin,"2,309.9",4
SZA,"2,308.8",9
Blessd,"2,302.7",5
Timbaland,"2,295.7",6
Imran Khan,"2,294.2",5
Hassan Shakosh,"2,293.9",5
Projota,"2,293.0",5
Zack Knight,"2,289.5",3
Tory Lanez,"2,283.9",3
2NE1,"2,280.7",3
Kane Brown,"2,280.6",4
Israel & Rodolffo,"2,279.2",3
The Script,"2,269.7",5
Lil Dicky,"2,267.8",4
Radiohead,"2,264.8",3
Eduardo Costa,"2,263.9",5
Skillet,"2,263.6",6
Shania Twain,"2,262.8",6
Cyndi Lauper,"2,251.9",3
blink-182,"2,251.7",7
Natalia Lafourcade,"2,248.8",6
MC Davo,"2,241.9",6
Kany García,"2,234.5",6
Lil Tjay,"2,223.1",4
Boney M.,"2,221.5",4
Mike Posner,"2,217.4",2
K-ICM,"2,205.2",5
Ke$ha,"2,196.4",6
Carin Leon,"2,192.6",5
Luciano Pereyra,"2,190.6",5
Michel Teló,"2,188.8",2
Darshan Raval,"2,188.2",4
Hozier,"2,177.0",3
Lartiste,"2,172.3",3
Balti,"2,164.9",3
Michael Bublé,"2,153.3",5
The Killers,"2,146.6",6
Capital Bra,"2,144.8",4
MC Fioti,"2,141.6",1
Mora,"2,139.0",4
Banda El Recodo De Cruz Lizárraga,"2,137.0",6
Pabllo Vittar,"2,135.4",5
Sin Bandera,"2,134.8",6
Eros Ramazzotti,"2,134.5",4
Cocktail,"2,130.1",7
Arash,"2,130.1",5
Jason Aldean,"2,126.1",3
MC Kekel,"2,119.5",6
Alok,"2,119.1",2
Andra,"2,118.1",4
Jason Mraz,"2,117.0",5
Silentó,"2,110.7",1
Laura Pausini,"2,101.2",3
Remmy Valenzuela,"2,101.1",6
Lucas Lucco,"2,082.9",7
R.E.M.,"2,080.5",3
Lorde,"2,079.3",4
AKB48,"2,078.0",2
Ceca,"2,076.9",""
Fergie,"2,074.3",8
Joey Montana,"2,072.3",2
Roxette,"2,068.9",3
Paula Fernandes,"2,055.7",3
Mohamed Alsalim,"2,055.1",4
Timati,"2,051.8",4
Hala Al Turk,"2,051.0",6
Ricardo Montaner,"2,050.7",4
James Blunt,"2,048.8",3
Ryan Castro,"2,047.2",6
Big Sean,"2,047.0",6
Chris Jeday,"2,045.3",3
JoJo Siwa,"2,036.7",5
$uicideboy$,"2,035.8",4
Bryson Tiller,"2,034.5",4
Kid Ink,"2,032.3",3
Eslabon Armado,"2,032.0",4
Alvaro Soler,"2,026.3",4
Mary J. Blige,"2,016.4",5
Bruce Springsteen,"2,015.3",3
Juan Magan,"2,012.3",5
Zouhair Bahaoui,"2,010.5",4
Palak Muchhal,"2,001.9",3
Ninho,"2,001.8",7
Three Days Grace,"1,994.6",4
Noriel,"1,993.9",4
Raí Saia Rodada,"1,990.8",4
İrem Derici,"1,984.7",3
Niska,"1,979.8",5
Lata Mangeshkar,"1,978.2",6
Bring Me The Horizon,"1,974.6",3
Scorpions,"1,966.7",3
Junior H,"1,965.9",6
B Praak,"1,963.5",3
OMI,"1,963.2",3
IU,"1,960.6",8
My Chemical Romance,"1,958.5",7
Sabyan,"1,957.7",6
Rick Astley,"1,957.3",2
Fernandinho,"1,956.4",3
Abraham Mateo,"1,956.0",3
Cristiano Araújo,"1,955.7",6
El Komander,"1,955.3",3
The Game,"1,953.6",5
Florida Georgia Line,"1,952.2",7
Joji,"1,951.6",4
The Notorious B.I.G.,"1,951.3",4
"Earth, Wind & Fire","1,945.0",4
Blake Shelton,"1,942.4",3
Elvis Presley,"1,936.9",3
Korn,"1,934.2",4
Lauana Prado,"1,932.4",3
SHINee,"1,931.5",2
Tiago PZK,"1,931.0",3
Raymix,"1,919.9",4
Rick Ross,"1,918.5",3
ONE OK ROCK,"1,916.9",3
Kim Loaiza,"1,916.8",7
PNL,"1,916.5",8
Last Child,"1,915.9",5
Ahmed Saad,"1,913.9",6
Naps,"1,913.6",5
Shaggy,"1,905.4",6
Galantis,"1,901.0",4
Marcos & Belutti,"1,894.0",4
Hailee Steinfeld,"1,893.3",6
The Police,"1,888.6",3
Soulja Boy Tell'em,"1,883.9",2
Black M,"1,881.5",6
3 Doors Down,"1,876.1",3
2 Chainz,"1,873.6",5
João Gomes,"1,869.3",5
Destiny's Child,"1,867.4",7
Tom Odell,"1,866.0",2
AronChupa,"1,857.2",3
Naughty Boy,"1,853.5",2
Foster The People,"1,851.7",4
Sofia Reyes,"1,844.4",4
Audioslave,"1,840.2",3
LIT killah,"1,840.1",7
MC Cabelinho,"1,838.9",3
Toni Braxton,"1,834.7",4
J Alvarez,"1,833.0",3
The Kid LAROI,"1,832.9",2
Joyner Lucas,"1,832.0",2
Ñengo Flow,"1,827.9",6
Ella Mai,"1,826.9",5
4 Non Blondes,"1,820.9",1
Via Vallen,"1,820.3",3
Wham!,"1,811.9",2
Robbie Williams,"1,809.3",5
Lauv,"1,808.4",4
Andy Rivera,"1,807.4",4
B.o.B,"1,806.3",2
Manuel Medrano,"1,795.2",3
Vremya i Steklo,"1,790.9",5
Thiaguinho,"1,788.0",2
Sherine,"1,787.0",5
Santana,"1,786.1",3
T-Pain,"1,781.5",7
Toto,"1,771.5",3
Lil Skies,"1,766.5",5
Davido,"1,765.9",4
Trippie Redd,"1,764.2",3
2CELLOS,"1,761.6",1
Nella Kharisma,"1,756.2",5
Aqua,"1,751.0",1
Marilyn Manson,"1,749.0",3
Tomorrow X Together,"1,743.1",7
Jeremih,"1,742.8",6
NewJeans,"1,737.3",4
Trueno,"1,736.2",4
Orochi,"1,725.3",4
Israel Kamakawiwo'ole,"1,721.7",2
Damas Gratis,"1,712.1",5
Getsunova,"1,708.6",5
Jonas Brothers,"1,707.6",3
Kid Rock,"1,707.5",3
Vitor Fernandes,"1,706.8",4
Wolfine,"1,702.3",2
Chris Stapleton,"1,699.5",4
Hillsong UNITED,"1,694.0",2
Mrs. Green Apple,"1,691.7",4
JD Pantoja,"1,684.8",4
Mỹ Tâm,"1,684.7",5
Kehlani,"1,684.0",2
Fun.,"1,681.8",4
Joan Sebastian,"1,681.1",3
No Doubt,"1,677.4",2
Demet Akalın,"1,675.3",3
Ana Castela,"1,672.1",5
Grupo Revelação,"1,671.0",3
Lê Bảo Bình,"1,665.7",4
Reynmen,"1,661.3",3
Pedro Sampaio,"1,660.7",5
MHD,"1,658.5",5
Dwayne Johnson,"1,653.1",1
Summer Walker,"1,652.9",3
Afrojack,"1,633.6",3
Renuka Panwar,"1,630.8",1
Radwimps,"1,628.6",3
Europe,"1,627.4",2
Hande Yener,"1,625.8",3
Rombai,"1,624.2",5
Bonnie Tyler,"1,617.0",3
Abel Pintos,"1,614.0",1
Die Antwoord,"1,607.1",5
King,"1,607.0",2
Alexandra Stan,"1,604.4",5
Shaan,"1,604.1",2
Tainy,"1,601.4",3
Natiruts,"1,599.8",3
Yorushika,"1,596.3",4
Gigi D'Agostino,"1,588.8",3
Buray,"1,588.2",8
Carrie Underwood,"1,587.3",1
MC WM,"1,587.2",5
Sting,"1,584.6",5
R3HAB,"1,584.4",3
Ty Dolla $ign,"1,582.1",1
Journey,"1,575.3",4
Milky Chance,"1,567.3",3
Gunna,"1,566.8",2
Troye Sivan,"1,557.9",2
C. Tangana,"1,554.8",4
Dennis,"1,550.5",3
Carla's Dreams,"1,550.3",2
Auli'i Cravalho,"1,548.8",2
OutKast,"1,545.5",3
Sunidhi Chauhan,"1,536.8",3
L-Gante,"1,536.5",2
Preto no Branco,"1,535.5",2
Melim,"1,533.1",3
Willy William,"1,532.9",2
Mannat Noor,"1,532.4",1
Billy Joel,"1,532.4",3
The Neighbourhood,"1,532.0",1
Dire Straits,"1,531.1",5
Kids United,"1,528.3",3
Hadise,"1,521.1",5
Kong Huayrai,"1,520.4",4
Yo Gotti,"1,519.1",5
Jhené Aiko,"1,517.2",2
Banda Carnaval,"1,516.8",2
Kings Of Leon,"1,516.5",2
Alexis y Fido,"1,515.8",3
Bé Bảo An,"1,515.4",4
Phil Collins,"1,511.9",2
Marwa Loud,"1,508.3",5
Alessia Cara,"1,507.8",4
SISTAR,"1,504.7",4
Cris MJ,"1,504.6",2
Nicki Nicole,"1,503.2",4
Owl City,"1,491.7",2
Armaan Malik,"1,489.6",3
L.กฮ.,"1,489.2",5
Oliver Tree,"1,489.1",2
Akcent (Romania),"1,486.5",2
Darell,"1,485.7",3
Mano Walter,"1,485.5",3
Sabrina Carpenter,"1,484.6",1
Amenazzy,"1,483.6",2
4Minute,"1,481.9",4
YFN Lucci,"1,477.7",2
G.E.M.,"1,476.9",5
Fernando & Sorocaba,"1,474.4",1
Central Cee,"1,471.9",5
Lenny Kravitz,"1,469.5",4
Baby Rasta y Gringo,"1,468.3",4
Gülşen,"1,466.8",4
Rvssian,"1,465.1",4
Rudimental,"1,460.7",3
Yelawolf,"1,457.4",3
MC Lan,"1,451.7",2
Limp Bizkit,"1,451.0",5
Alejandra Guzmán,"1,448.8",3
Keane,"1,446.4",2
Duke Dumont,"1,445.4",2
The Lumineers,"1,441.1",4
Flume,"1,441.1",4
Keyshia Cole,"1,436.0",7
Pang Nakarin,"1,435.7",4
León Larregui,"1,435.5",4
Otilia,"1,432.6",1
Sila,"1,429.3",2
Gwen Stefani,"1,424.8",4
Jenni Rivera,"1,423.5",2
Jads & Jadson,"1,421.6",3
2Pac,"1,417.1",3
IZA,"1,416.9",5
J-Ax,"1,415.6",3
MC G15,"1,412.2",5
Sexion D'Assaut,"1,408.1",3
H.E.R.,"1,407.4",4
Zé Ramalho,"1,407.2",3
Era Istrefi,"1,403.0",1
Alec Benjamin,"1,401.4",1
Bruno e Barretto,"1,399.4",2
Sade,"1,399.0",4
John Newman,"1,396.7",2
Andrés Cepeda,"1,396.6",4
Brett Young,"1,393.2",3
Ylvis,"1,388.9",1
Sharry Mann,"1,387.9",3
Taio Cruz,"1,387.1",5
Vicentico,"1,383.4",4
Le Sserafim,"1,383.2",4
Emrah Karaduman,"1,382.7",3
Thirty Seconds to Mars,"1,373.8",3
Mahahing,"1,372.3",5
Diljit Dosanjh,"1,371.4",3
Aitana,"1,371.3",5
Wael Kfoury,"1,370.1",1
Carlos Baute,"1,369.8",1
Shinedown,"1,369.8",2
El Bebeto,"1,367.6",2
'N Sync,"1,364.1",4
Florence + The Machine,"1,355.3",3
Young M.A,"1,355.0",3
IVE,"1,354.0",5
Nipsey Hussle,"1,353.6",2
