"","",Video,#,Highlights
228,NEW,The past and future of PringlesğŸ¥”,3,"#47 Turkey, #21 Finland, #32 Latvia"
229,-45,DRAGON BALL: Sparking! ZERO â€“ Fused Warriors Trailer [BUDOKAI TENKAICHI Series],7,"#39 Dominican Republic, #48 Honduras, #41 Paraguay"
230,-21,How does this even happen!? ğŸ˜‚ #stuck #jethro #bondirescue #lifeguards #shorts,10,"#27 South Africa, #15 Netherlands, #46 Belgium"
231,-18,ĞÑƒ Ğ›Ğ¸Ğ»Ğ¸Ñ‚))) Ğ¿Ñ€Ğ¾Ğ´Ğ° Ğ² Ğ¾Ğ½Ğº: Ğ·Ğ°Ğ²Ğ¸Ğ´Ğ½Ñ‹Ğµ ĞºĞ¾Ñ‚Ğ¸ĞºĞ¸,3,"#37 Kazakhstan, #45 Ukraine, #27 Belarus"
232,-43,"Briella, La Joaqui, Yami Safdie - Coquette Remix (Video Oficial)",8,"#42 Bolivia, #33 Uruguay, #50 Honduras"
233,-35,1â¤ï¸,3,"#35 Malaysia, #37 Sri Lanka, #44 Uganda"
234,-11,ä¾†è‡ªæœªä¾†çš„å…¬å…±å»æ‰€,3,"#21 Taiwan, #2 Hong Kong, #15 Singapore"
235,-14,Manchester City v Manchester United | Key Moments | Final | Emirates FA Cup 2023-24,8,"#24 Kenya, #49 South Africa, #36 Nigeria"
236,-9,RELJA X NUCCI - OMB (OFFICIAL VIDEO),5,"#8 Serbia, #14 Bosnia and Herzegovina, #20 Croatia"
237,-35,ØªØ­Ø¯ÙŠ Ø§Ù„Ù‚Ù†Ø¨Ù„Ù‡ğŸ’£ #2,6,"#31 Saudi Arabia, #39 Jordan, #42 Libya"
238,NEW,#JasonDeruloTV // Sky Wheel #GotPermissionToPost From @ReneMiksche2D #FromTheIslands,8,"#29 Israel, #23 Netherlands, #36 Czech Republic"
239,-14,Ø¬Ø¨Øª Ø§Ù„Ø¹ÙŠØ¯ ÙÙŠ Ø§Ù„Ø§Ø®ØªØ¨Ø§Ø±Ø§Øª!!!,5,"#33 Saudi Arabia, #34 Jordan, #36 Libya"
240,-5,testiram kinder joy trik ğŸ¤”,3,"#3 Serbia, #5 Bosnia and Herzegovina, #14 Croatia"
241,-17,aespa ì—ìŠ¤íŒŒ 'Armageddon' MV,4,"#44 Malaysia, #20 Hong Kong, #34 Puerto Rico"
242,-13,ÙˆØ£Ø®ÙŠØ±Ø§Ù‹ Ø³ÙŠØ¯ ÙŠÙ„Ø¹Ø¨Ø© Ù„Ø¹Ø¨Ø© eFootball 2024 ğŸ”¥!!,3,"#47 Egypt, #42 Tunisia, #41 Lebanon"
243,-12,RELJA - ZA TOBOM LUD (OFFICIAL VIDEO),5,"#9 Serbia, #16 Bosnia and Herzegovina, #21 Croatia"
244,-66,Omega Boy Past 3 #funny #viral #comedy,6,"#38 Malaysia, #36 Lithuania, #32 Slovakia"
245,-165,ESTO FUE LO QUE PASÃ“ CON LA CAJA FUERTE DE NUESTRA CASA,6,"#48 Bolivia, #49 Guatemala, #49 Honduras"
246,NEW,CARGO SKATES CHALLENGE! ğŸ˜± #shorts *WILL JUSTIN WIN?! ğŸ˜‚*,12,"#35 Bulgaria, #18 Bosnia and Herzegovina, #32 Lithuania"
247,-28,"How to ALWAYS WIN ""Guess Who""",12,"#39 South Africa, #39 Portugal, #50 El Salvador"
248,-49,å¯æ€œçš„ç™½å¤©ä½¿è¢«å°ä¸‘æ‰“äº†ã€‚#å¤©ä½¿ #å°ä¸‘ #è¶…äººä¸ä¼šé£,7,"#46 Israel, #49 Nepal, #48 Sri Lanka"
249,-4,"JAMES' WIFE (New Movie) Sonia Uche, Deza The Great, Elochukwu Godwin 2024 Nollywood Movie",4,"#20 Kenya, #3 Nigeria, #28 Jamaica"
250,+11,Ğ­Ñ„Ñ„ĞµĞºÑ‚ ĞšĞ°Ñ€Ğ±Ğ¾Ğ½Ğ°Ñ€Ğ¾ Ğ¸ Ğ±ĞµÑĞºĞ¾Ğ½ĞµÑ‡Ğ½Ğ¾Ğµ Ğ¿Ğ¸Ğ²Ğ¾,3,"#19 Ukraine, #10 Belarus, #22 Latvia"
251,NEW,ZOBRA MI OTVARA LEGENDARY STAR DROP,3,"#5 Serbia, #8 Bosnia and Herzegovina, #29 Croatia"
252,-61,MOM TURNED THE NOODLES PINKğŸ˜±,5,"#40 Kazakhstan, #24 El Salvador, #40 Georgia"
253,-16,HIGHLIGHTS | Manchester City v Manchester United | FA Cup Final 2024,10,"#32 Kenya, #40 Nigeria, #45 Lebanon"
254,-74,Moana 2 | TrÃ¡iler Oficial | Doblado,4,"#39 Bolivia, #50 Ecuador, #44 Costa Rica"
255,-12,Chicken potato skins ğŸ¥” #abirzkitchen #potato,5,"#37 South Africa, #36 Kenya, #45 Nigeria"
256,-42,Black Ops 6: 'The Truth Lies' - Live Action Reveal Trailer,8,"#45 Tunisia, #49 Jordan, #35 Lebanon"
257,NEW,Beogradski muftija JusufspahiÄ‡ zaplakao #uranak1,5,"#29 Serbia, #9 Bosnia and Herzegovina, #19 Croatia"
258,+8,Guy swings into ancient Japanese temple's bell! ğŸ””ğŸ‡¯ğŸ‡µ - ğŸ¥ hirori030303,8,"#15 Kenya, #24 Switzerland, #27 Tanzania"
259,-13,#ÙÙ„Ù…_Ù…Ø§ÙŠÙ†_ÙƒØ±Ø§ÙØª : ÙÙŠÙ†ÙˆÙ… Ø¶Ø¯ Ø§Ù„Ù…Ù„ÙƒØ© ÙƒØ±Ø§Ù†ÙŠ !,4,"#37 Tunisia, #28 Lebanon, #48 Jordan"
260,-5,"MY CITY DREAM (New Movie) Chinenye Nnebe, Chris Okagbue, Emmanuella Iloba 2024 Nollywood Movie",5,"#5 Nigeria, #40 Kenya, #39 Jamaica"
261,-22,Ù…Ø³Ù„Ø³Ù„ Ù…Ù† ÙÙ… Ø§Ù„Ø³Ø¨Ø¹ : Ø§Ù„Ø­Ù„Ù‚Ø© - 4,3,"#32 Morocco, #36 United Arab Emirates, #23 Qatar"
262,-26,GERMAN GUALEY VS RAFA BOBA - LA ESCUELITA DELUXE (LA REVANCHA),3,"#29 Dominican Republic, #25 Puerto Rico, #43 Panama"
263,-37,ÙŠÙˆÙ… Ø§Ù„Ù…Ø¨Ø§Ø±Ø§Ø© Ø§Ù„Ù…Ù†ØªØ¸Ø±Ø© Ø¶Ø¯ Ø§Ù„Ø§Ø³Ø¨Ø§Ù† ğŸ‡ªğŸ‡¸ğŸ¤¯!! #6,6,"#40 Tunisia, #43 Jordan, #33 Lebanon"
264,-20,Cute Barbie gadgets ğŸ©·ğŸ’›,5,"#46 South Africa, #48 Kenya, #49 Portugal"
265,-5,How I Did This In Starbucks ğŸ˜± #shorts,5,"#36 South Africa, #39 Sri Lanka, #21 Singapore"
266,-58,ØªØ­Ø¯ÙŠ ÙŠØªØ­ÙƒÙ… ÙÙŠ ÙŠÙˆÙ…Ù†Ø§ Ø¨Ø§Ù„Ø±ÙŠÙ…ÙˆØª ( Ø§Ù„Ø³ÙŠÙ†Ù…Ø§ Ø§Ù„ÙØ®Ù…Ø© ) !!,7,"#44 Tunisia, #38 Lebanon, #47 Libya"
267,-150,24 HORAS SIENDO TÃA | LOS POLINESIOS,5,"#49 Dominican Republic, #43 Nicaragua, #48 Costa Rica"
268,-132,I found out I have ADHD.,3,"#48 Germany, #22 Australia, #42 Austria"
269,-18,La la la la ğŸ¤£ğŸ¥°â¤ï¸ #demariki,5,"#39 Israel, #50 Bosnia and Herzegovina, #37 Lithuania"
270,-82,Ø±Ø¹Ø¨ Ù…ÙƒØ³ÙŠÙƒÙŠ Ù„ÙƒÙ† Ù„Ø¹Ø¨ØªÙŠ ğŸ‘»,4,"#36 Tunisia, #38 Jordan, #41 Libya"
271,-49,Sydnie Christmas performs PITCH-PERFECT rendition of 'Over the Rainbow' | The Final | BGT 2024,3,"#32 United Kingdom, #48 Australia, #32 Ireland"
272,-76,JAMIE OLIVERâ€™S WORST RECIPE YET (Veggie Pad Thai),3,"#41 Germany, #37 Australia, #41 Austria"
273,-33,"Ù…Ø³Ù„Ø³Ù„ Ø´Ø¨Ø§Ø¨ Ø§Ù„Ø¨ÙˆÙ…Ø¨ 12 - Ø§Ù„Ø­Ù„Ù‚Ø© Ø§Ù„Ø¹Ø´Ø±ÙˆÙ† "" Ù…ØµØ§Ø±ÙŠÙ "" 4K",6,"#50 Tunisia, #45 Jordan, #36 Lebanon"
274,-21,Ø¬Ù‡Ø²ÙˆØ§ Ù…Ø¹ÙŠ Ø­Ù‚ÙŠØ¨Ø© Ø§Ù„Ø¥Ø®Ù„Ø§Ø¡ Ù„Ù„Ù†Ø²ÙˆØ­ â€¼ï¸âš ï¸,5,"#46 Tunisia, #44 Jordan, #34 Lebanon"
275,-8,How I get my TODDLER to eat his food #shorts,5,"#20 Nigeria, #46 Kenya, #44 Jamaica"
276,-14,ĞŸĞĞ›ĞĞĞ¯ Ğ˜Ğ¡Ğ¢ĞĞ Ğ˜Ğ¯ Ğ­ĞšĞ—ĞĞ Ğ¦Ğ˜Ğ—ĞœĞ [Ğ¢Ğ¾Ğ¿ Ğ¡Ğ¸ĞºÑ€ĞµÑ‚],4,"#40 Ukraine, #17 Belarus, #17 Latvia"
277,-19,I Built a Nightmare Factory That Manufactures Only Chaos - Chocolate Factory,3,"#46 Germany, #40 Australia, #43 Austria"
278,+28,Instagram: Why are the Bad Boys always doing the most? ğŸ˜‚ğŸšªğŸ”’ #badboys,7,"#46 Greece, #12 Switzerland, #33 Belgium"
279,+6,Ø³ÙˆÙŠØª ÙˆØ¬Ø¨ØªÙŠ Ø§Ù„Ø®Ø§ØµØ© ğŸ¤©ğŸ”ğŸŸ,6,"#41 Tunisia, #50 Jordan, #48 United Arab Emirates"
280,-28,A lot can happen in 72 hours. #Californication,8,"#29 Portugal, #41 Belgium, #28 Switzerland"
281,-11,"Nice try, but Cam is the scream queen #ModernFamily #GloriaPritchett #SofiaVergara #Shorts",6,"#29 South Africa, #10 Ireland, #17 New Zealand"
282,-17,BOJKOVICU SVE KRCKA I SVE GA BOLI!! #mma #bojkovic #ufc #fighting #icko,3,"#24 Serbia, #33 Bosnia and Herzegovina, #34 Croatia"
283,-53,Minecraft Series | Official Announcement | Netflix,3,"#45 Dominican Republic, #46 Costa Rica, #23 Puerto Rico"
284,-30,ØµØ±Øª Ø¹Ø§Ù…Ù„ Ù†Ø¸Ø§ÙÙ‡!!,6,"#43 Tunisia, #39 Lebanon, #50 United Arab Emirates"
285,-38,How is it possible? ğŸ«¢ğŸ˜± #tiktok #elsarca,7,"#38 Bulgaria, #45 Belgium, #40 Croatia"
286,-9,"Ğ£Ğ³Ğ°Ğ´Ğ°Ğ¹ Ğ‘ĞµÑ€ĞµĞ¼ĞµĞ½Ğ½ÑƒÑ Ğ–ĞµĞ½Ñ‰Ğ¸Ğ½Ñƒ! 6 Ğ”ĞµĞ²ÑƒÑˆĞµĞº Ğ’Ñ€ÑƒÑ‚, 1 Ğ“Ğ¾Ğ²Ğ¾Ñ€Ğ¸Ñ‚ ĞŸÑ€Ğ°Ğ²Ğ´Ñƒ! (Ğ¥Ğ°Ğ·ÑĞµĞ²Ğ°, ĞšĞ¾ĞºĞ¾ÑˆĞºĞ°)",4,"#46 Ukraine, #21 Belarus, #37 Latvia"
287,-12,Salt Smacks 45 & Rauf Claims 3-Fer | Highlights - England v Pakistan | 4th Menâ€™s Vitality IT20 2024,5,"#50 Saudi Arabia, #30 United Arab Emirates, #30 Kuwait"
288,-9,Sisâ€™ backflip was CLEAN tho ğŸ˜³ğŸ”¥,3,"#32 South Africa, #36 Jamaica, #37 New Zealand"
289,-17,How I prepare to meet the brothers MbappÃ©.. ğŸ™ˆ @KylianMbappe,5,"#47 South Africa, #43 Portugal, #24 Uganda"
290,-6,Ø§Ø®ÙŠØ±Ø§ Ø¹Ø§Ø¯Ù„ ØªØ®Ø±Ø¬ Ù…Ø¤Ø«Ø± Ùˆ ØªØ³Ø¨Ø­Ù†Ø§ Ø¨Ø§Ù„Ù…Ø³Ø¨Ø­- Ø¹Ø§Ø¦Ù„Ø© Ø¹Ø¯Ù†Ø§Ù†,6,"#47 Jordan, #46 Libya, #40 United Arab Emirates"
291,-9,I found a cult at Tokyo Disneyland,8,"#21 Netherlands, #14 New Zealand, #18 Ireland"
292,+4,BMW Drivers at their BEST ğŸ˜‚ğŸ’ª #shorts #nurburgring,6,"#27 Netherlands, #31 Belgium, #18 Switzerland"
293,-60,HANSI FLICK: HIS FIRST DAY AT FC BARCELONA ğŸ”µğŸ”´,4,"#39 Honduras, #32 Nicaragua, #31 Panama"
294,-13,"Japanese ""Standing"" Sushi",5,"#42 South Africa, #32 New Zealand, #36 Singapore"
295,-2,Testing 3 Levels of Popsicle Holders!,3,"#41 South Africa, #49 Jamaica, #19 Malta"
296,-2,HILJSON MANDELA X BIBA - ANKARAN (OFFICIAL VIDEO),3,"#35 Serbia, #28 Croatia, #40 Slovenia"
297,+3,"LOVE OR MONEY (New Movie) Maurice Sam, Chinenye Nnebe, Sonia Uche 2024 Nollywood Movie",4,"#8 Nigeria, #12 Ghana, #22 Uganda"
298,-7,Their reactions ğŸ˜‚ (via @trent.severino/TT),7,"#19 Switzerland, #42 Belgium, #27 Slovakia"
299,NEW,Must have been frightening! #shorts,3,"#17 Jamaica, #34 Nigeria, #27 Ghana"
300,NEW,He Jumped From How High?! ğŸ¤¯,4,"#6 Netherlands, #15 New Zealand, #14 Ireland"
301,=,WHY DOES SHE HAVE A REWARD? #youtubecreatorawards,5,"#26 El Salvador, #48 Portugal, #45 Belarus"
302,+2,#shorts Little boy wants to be a chef when he grows upï¼,3,"#20 Jamaica, #35 Nigeria, #28 Ghana"
303,-13,THROWING IT DOWN FROM 27M ğŸ‘€ğŸ¤¯ğŸ˜®â€ğŸ’¨ #shorts,3,"#28 Greece, #16 Switzerland, #38 Sweden"
304,-36,What is he doing? ğŸ˜¡ The Russian couldn't take it and... #shorts,5,"#45 South Africa, #27 Uganda, #48 Ghana"
305,-31,Jim's mind control prank - The Office US,7,"#36 Netherlands, #27 Sweden, #26 New Zealand"
306,-3,Doku v Wan-Bissaka ğŸ¤©,3,"#16 Nigeria, #28 Tanzania, #16 Ghana"
307,+5,"You CANâ€™T stay overnight in this Airbnb hosted by Edna Mode, but you can design your own super suit!",6,"#29 Netherlands, #19 Ireland, #21 New Zealand"
308,=,"Tyla, Gunna, Skillibeng - Jump (Official Music Video)",3,"#48 South Africa, #47 Uganda, #31 Zimbabwe"
309,=,pov: waiting for drops in mmos,6,"#47 Netherlands, #13 New Zealand, #32 Sweden"
310,NEW,His type of person Is Rare ğŸ˜±,3,"#28 Nigeria, #33 Tanzania, #25 Ghana"
311,-73,ç‹¼æ¥äº†çš„æ•…äº‹ä½ ä»¬å¬è¿‡å—ï¼Ÿ#å¤©ä½¿ #å°ä¸‘ #è¶…äººä¸ä¼šé£,3,"#40 Portugal, #37 El Salvador, #43 Latvia"
312,-2,Leg day vs chest day,6,"#30 Netherlands, #37 Sweden, #37 Ireland"
313,-14,Â¡GOLAZO DE MARCELO Y PARTIDAZO INFERNAL DEL FLU EN EL MARACANÃ! | Fluminense 3-2 A. Lima | RESUMEN,3,"#46 Paraguay, #42 Nicaragua, #38 Panama"
314,NEW,ğŸ¨ Puffâ€™s creating a clown face pancake! Got a name for it? ğŸ¤¡ğŸ¥ #ThatLittlePuff #PancakeArt,3,"#49 Bosnia and Herzegovina, #35 Georgia, #43 North Macedonia"
315,-2,Jim and Pam's simplest prank on Dwight! - The Office US,6,"#18 New Zealand, #29 Ireland, #42 Sweden"
316,-84,RM 'Nuts' Live Video,3,"#40 Nicaragua, #50 Costa Rica, #41 Panama"
317,+5,Race Highlights | 2024 Monaco Grand Prix,4,"#46 Nicaragua, #47 Panama, #33 Puerto Rico"
318,+3,I Interviewed Indian Megastar Mammootty,4,"#42 United Arab Emirates, #37 Kuwait, #21 Qatar"
319,-85,ALFA ME ESPIA,3,"#45 Nicaragua, #50 Panama, #37 Puerto Rico"
320,+3,RM 'Groin' Official MV,3,"#48 Nicaragua, #49 Panama, #35 Puerto Rico"
321,-16,Dancing makes everything better ğŸ•ºğŸ¼,3,"#48 Netherlands, #46 Switzerland, #50 Denmark"
322,+6,Ùˆ Ø§Ø®ÙŠØ±Ø§Ù‹ Ø§ÙØ¶Ù„ ØºØ±ÙÙ‡ ÙÙŠ Ù‚ØµØ± Ø¨Ø§ÙˆØ± ğŸ° ! ( Ø§Ù„ØºØ±ÙÙ‡ Ø§Ù„Ù…Ù†ØªØ¸Ø±Ù‡ ğŸ”¥ ğŸ˜),3,"#43 Lebanon, #44 Qatar, #41 Bahrain"
323,+6,Ø§Ø®Ø± ÙŠÙˆÙ… Ù‚Ø¨Ù„ Ø¨Ø¯Ø§ÙŠØ© Ø§Ù„Ø¨Ø·ÙˆÙ„Ø© ğŸ‡²ğŸ‡½ğŸ¤¯ğŸ”¥!!! #4,3,"#44 Lebanon, #41 Qatar, #39 Bahrain"
324,-48,ĞĞĞ’Ğ«Ğ™ AMONG US Ğ² Ğ Ğ•ĞĞ›Ğ¬ĞĞĞ™ Ğ–Ğ˜Ğ—ĞĞ˜! Utopia Show VS ĞœĞ°ÑĞ»ĞµĞ½Ğ½Ğ¸ĞºĞ¾Ğ²,3,"#19 Belarus, #20 Latvia, #23 Estonia"
325,+5,ØªØ­Ø¯ÙŠ Ø¹Ø¨Ø¯Ø§Ù„Ù„Ù‡ ÙŠØªØ­ÙƒÙ… ÙÙŠÙ†Ø§ Ø¨Ø§Ù„Ø±ÙŠÙ…ÙˆØª ( Ù‚Ø±Ø± ÙŠØ³Ø§ÙØ± ) !!,3,"#47 Lebanon, #45 Qatar, #38 Bahrain"
326,+5,Ø­Ø¬Ø²Øª Ø§ØºÙ„Ù‰ ØªØ°ÙƒØ±Ø© Ù‚Ø·Ø§Ø± ÙÙŠ Ø§Ù…Ø±ÙŠÙƒØ§,3,"#48 Lebanon, #43 Qatar, #37 Bahrain"
327,-11,BroğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ¤£,4,"#29 New Zealand, #40 Singapore, #43 Ireland"
328,+5,Ø´Ø±ÙŠØª Ø¬Ø²Ù…Ø© ØªØ®Ù„ÙŠÙƒ Ø§Ø³Ø±Ø¹ Ø¨Ø§Ù„Ø°ÙƒØ§Ø¡ Ø§Ù„ØµÙ†Ø§Ø¹ÙŠ !,3,"#49 Lebanon, #46 Qatar, #44 Bahrain"
329,-109,"He SNATCHED victory, even though no one believed in him anymore #shorts",3,"#24 Ireland, #38 Singapore, #46 New Zealand"
330,-10,We Friends Tho - Kevin Hart,4,"#28 New Zealand, #48 Ireland, #36 Denmark"
331,NEW,Naming my baby...,3,"#17 Ireland, #31 New Zealand, #16 Malta"
332,-7,Whyyy? ğŸ˜­ #shorts by Leisi_family,4,"#28 Finland, #16 Cyprus, #44 Slovenia"
333,-16,How Black Men Say Hello - @KeonPolee - Chocolate Sundaes Comedy #shorts,4,"#40 New Zealand, #45 Sweden, #45 Ireland"
334,-15,Getting Past Indian Immigration #shorts,4,"#39 Ireland, #43 New Zealand, #49 Sweden"
335,-20,JUMPING THE GIANT RIVER GAP!! HARDLINE POV,3,"#45 Switzerland, #36 Finland, #28 Norway"
336,-72,Footage Released of Moment Truck Pludges Off Clark Memorial Bridge in Louisville | 10 News First,3,"#44 Belarus, #40 Uganda, #47 Latvia"
337,-2,Bobby's Painted Nails,4,"#42 New Zealand, #42 Ireland, #48 Denmark"
338,=,"TitoM, Yuppe and Burna Boy - Tshwala Bam Remix [Ft. S.N.E] (Official Video)",3,"#25 Uganda, #26 Zimbabwe, #49 Ghana"
339,-7,ELITE Powerlifter ANATOLY Pretends to be CLEANER in GYM #anatoly #fitness #gym,3,"#29 Uganda, #24 Zimbabwe, #9 Malta"
340,=,Ø´ÙŠÙ„Ø© Ø´ÙˆÙ†Ù‚ Ø§Ø¯Ø§Ø¡ Ø´Ø¨Ù„ Ø§Ù„Ø¯ÙˆØ§Ø³Ø± .,3,"#41 Kuwait, #34 Qatar, #42 Bahrain"
341,-5,FaZe Banks vs. Nadeshot 1V1,3,"#44 New Zealand, #49 Denmark, #39 Norway"
342,+1,UNDISPUTED CHAMPION CROWNED | Tyson Fury vs. Oleksandr Usyk Fight Highlights (Ring of Fire),3,"#25 Zimbabwe, #48 Uganda, #25 Malta"
343,+1,How Bouncing Bettyâ€™s Work ğŸ«¨,3,"#36 Uganda, #44 Zimbabwe, #38 Malta"
344,-2,I Tried Cristiano Ronaldoâ€™s Special Morning Routine,3,"#35 Slovenia, #36 Estonia, #50 Malta"
